chrom,n_copies,chrom_class,mean_raw_div,median_raw_div,mean_jc_div,mean_tstv
16,115,micro_derived,0.4129681725279056,0.3681592039800995,0.6244548335830168,0.7781445301186899
35,99,micro_derived,0.46478158102212724,0.4129353233830846,0.7448567474082485,0.9177425247128516
25,66,micro_derived,0.48631564150183254,0.415,1.1094428195478507,0.8820682298474072
30,52,micro_derived,0.4516599652593472,0.41541078239356766,0.7993483042948256,0.8364095739066455
29,50,micro_derived,0.43043882010206264,0.41067285382830626,0.7484998411325339,0.8027166291938977
31,41,micro_derived,0.4355258577227684,0.41025641025641024,0.8183668882815128,0.764834785584764
34,33,micro_derived,0.41908415163001445,0.41360082938720616,0.634439752918048,0.7762738943473442
37,30,micro_derived,0.45184268512734027,0.4054726368159204,0.8018341995369288,0.8876962945712162
33,29,micro_derived,0.4855129297282745,0.41424157303370784,1.16311742474568,0.7829905232671414
36,17,micro_derived,0.43550859210623655,0.3988105789343071,0.7843967795722248,0.7384289272062845
32,17,micro_derived,0.43756915619202347,0.4094326536274102,0.6864917120921071,0.8594388332216908
7,13,chr7_ancestral,0.4170733790552826,0.4239401496259352,0.7611650509725122,1.0038252595015353
6,7,macro_derived,0.6620209059233451,0.6585365853658537,1.6113315008780673,0.5079365079365079
Z,6,sex_chrom,0.46047185620542913,0.4565145865321343,0.7405491897236747,0.8985033484265962
24,6,micro_derived,0.4138106193092266,0.3717470340604669,0.6386577119092346,0.844822350653267
28,5,micro_derived,0.47005767806716975,0.42010178761330835,0.8793460436886588,0.7091178265997691
22,2,micro_derived,0.263855421686747,0.263855421686747,0.3251776587452103,1.085812772133527
21,2,micro_derived,0.3890532544378698,0.3890532544378698,0.548513382486409,0.9924242424242424
20,1,micro_derived,0.351931330472103,0.351931330472103,0.4750865097197813,0.8636363636363636
1A,1,macro_derived,0.425,0.425,0.6271860181504639,0.7708333333333334
8,1,macro_derived,0.4275,0.4275,0.6329775527208966,0.7272727272727273
W,1,sex_chrom,0.39436619718309857,0.39436619718309857,0.5596287366511241,0.8666666666666667
1,1,macro_derived,0.425,0.425,0.6271860181504639,0.7525773195876289
